This is for Time Step h = 0.1
x	y (Euler)	y (midpoint)	y (RK44)	EXACT		%Err(E)		%Err(M)		%Err(RK4)
----	----------	----------	----------	----------	-------		-------		------
0	0	0	0	0	-nan(ind)%	-nan(ind)%	-nan(ind)%
0.1	0.5	0.5090369272	0.5040147599	0.5040062116	0.007948734573%	0.009981455569%	1.696068044e-05%
0.2	0.9860882804	0.9418917554	0.9299833736	0.9299692608	0.06034502641%	0.01282031035%	1.517559098e-05%
0.3	1.336761843	1.178280127	1.158938591	1.158923832	0.1534509911%	0.01670195606%	1.273454342e-05%
0.4	1.453584287	1.136380907	1.110627992	1.110618385	0.3088062532%	0.02319655642%	8.649907678e-06%
0.5	1.28927035	0.7981592984	0.7684526188	0.7684534442	0.6777468559%	0.03865667388%	1.074180054e-06%
0.6	0.8654303303	0.2207680347	0.1904774691	0.1904920858	3.543130108%	0.1589354682%	7.673147221e-05%
0.7	0.2742737135	-0.470402004	-0.4978138899	-0.497785095	-1.5509882%	-0.0550098653%	-5.784599112e-05%
0.8	-0.3378573082	-1.107144704	-1.129056656	-1.129016654	-0.7007508197%	-0.01937256651%	-3.543069849e-05%
0.9	-0.8027530548	-1.517667616	-1.533117725	-1.533072395	-0.4763762903%	-0.01004830498%	-2.956762893e-05%
1	-0.971671551	-1.570878628	-1.581041974	-1.580998849	-0.385406541%	-0.006401156217%	-2.727723358e-05%
1.1	-0.7559488242	-1.214747006	-1.222913458	-1.222879899	-0.3818290536%	-0.006650606048%	-2.744282471e-05%
1.2	-0.1562476992	-0.4981410611	-0.5091470062	-0.5091282324	-0.6931073759%	-0.02158036155%	-3.687441788e-05%
1.3	0.7283561079	0.4312735709	0.4120685813	0.4120711203	0.7675495126%	0.04659984553%	6.161509522e-06%
1.4	1.715934898	1.355046339	1.323019094	1.323008542	0.2969945721%	0.02421586565%	7.975614712e-06%
1.5	2.580464313	2.033306318	1.985762151	1.985745966	0.2994936699%	0.02395087408%	8.150289658e-06%
1.6	3.106136933	2.264888984	2.20186874	2.201857271	0.4106895004%	0.02862661181%	5.20889043e-06%
1.7	3.144749623	1.943723238	1.868173695	1.868177859	0.6833245331%	0.0404380012%	2.228895942e-06%
